SalePrice,id
119958.03568085941,1461
151482.5673217837,1462
180200.85364774032,1463
197515.6191932898,1464
202434.15749064786,1465
170553.8002041172,1466
179791.38144936977,1467
159786.24839760835,1468
196124.18290531286,1469
118848.50907472268,1470
188060.2828704754,1471
98874.49267449234,1472
95139.60535946705,1473
143650.45340084162,1474
107788.4400639634,1475
353637.7429500651,1476
246593.88849179435,1477
299793.5405770778,1478
300047.4223672613,1479
468168.6525518386,1480
321388.2755922108,1481
213626.66131492527,1482
181178.24498756125,1483
160707.47963791044,1484
197392.59475472567,1485
194937.39517316487,1486
335953.36810157524,1487
238785.18885069172,1488
189499.42355182284,1489
239798.1410849979,1490
196908.57696842687,1491
92669.44523145224,1492
190785.53370780393,1493
295743.9681727021,1494
288783.3667803152,1495
234247.278802205,1496
179731.18985015634,1497
171647.37301015304,1498
165691.10372279983,1499
158408.2164527094,1500
172992.95396476975,1501
145806.45401246028,1502
285953.08647676336,1503
241975.47239173632,1504
225726.2368613103,1505
187589.0438107682,1506
244001.42398649143,1507
201683.97047180764,1508
161700.73678232913,1509
142587.41205169665,1510
150707.59090101416,1511
177473.8613694215,1512
153712.54334818697,1513
154169.29629532777,1514
192753.11906772008,1515
155724.71188229826,1516
171602.61980410645,1517
131335.31357240287,1518
209173.90226492216,1519
125480.13938326942,1520
128980.66205255075,1521
179320.27222170786,1522
110060.7866483352,1523
126801.3193984107,1524
117884.95844067332,1525
110336.41661186972,1526
109264.97026908275,1527
140138.65888856375,1528
149754.50690539603,1529
187505.41211882088,1530
107038.98144264394,1531
98599.66704899004,1532
145727.85694998267,1533
127754.78547481123,1534
146880.30646072593,1535
107061.7611781298,1536
61370.931964106945,1537
147900.73574816043,1538
194952.31553586439,1539
98419.3966343447,1540
137951.33323852744,1541
140328.13596767612,1542
178438.88730534594,1543
88908.45240637587,1544
118530.53448154764,1545
138920.08751502234,1546
128140.35533722906,1547
142759.83454615765,1548
123916.79784501813,1549
133387.52200822986,1550
106600.95955781783,1551
133270.6314764586,1552
145111.622669528,1553
116065.46661050555,1554
158658.53647127352,1555
86637.56393409453,1556
105269.77594404783,1557
102073.88963032639,1558
63815.16526167615,1559
134646.870184391,1560
125800.4566283334,1561
131032.22187926709,1562
117679.93915014046,1563
154206.30751749707,1564
150891.97122510345,1565
239163.5260674261,1566
77679.36499761227,1567
232878.76661160757,1568
124226.72848717523,1569
141737.62209480884,1570
123612.29380225853,1571
140148.85973573785,1572
228540.67790020164,1573
119906.9369728428,1574
229505.79100887445,1575
250118.09643145878,1576
178040.2760597957,1577
150476.41371499858,1578
143380.78514874313,1579
197272.397168116,1580
156303.7747759936,1581
124485.80428106754,1582
282176.7467947097,1583
216047.37914194187,1584
133838.84086351644,1585
64043.709172340605,1586
107182.11774385917,1587
151703.05292493012,1588
96467.44096752572,1589
133280.25736111912,1590
89610.44809989518,1591
115191.24218792775,1592
126192.82947907383,1593
122740.38034701651,1594
106236.89541185269,1595
214983.6255337938,1596
196103.51870949892,1597
233248.81723808893,1598
166963.75441543479,1599
158619.88866749246,1600
66603.07764393212,1601
118611.56018638227,1602
70791.9230406602,1603
256728.39971786295,1604
241396.1461002653,1605
168356.82895691102,1606
177798.7442120981,1607
216348.2566360515,1608
180674.09855562236,1609
151484.65342227937,1610
137758.68052711905,1611
173327.96553355278,1612
165117.0806683792,1613
129953.92038077743,1614
96441.40108149774,1615
79755.20945406848,1616
95856.17488520291,1617
125122.37079737494,1618
138672.0834848866,1619
146919.2521462726,1620
138712.8492664765,1621
143657.8976437751,1622
258021.06921533382,1623
209067.1356980788,1624
117888.51813464287,1625
173142.29661251282,1626
192792.4357545708,1627
282314.5886269756,1628
184140.16903740965,1629
342627.9565783819,1630
232772.86070339638,1631
247010.49548399632,1632
178442.31576780565,1633
184625.30296358804,1634
174270.41065693373,1635
152515.07144664507,1636
200570.8691100518,1637
177519.02272995384,1638
192763.38974521088,1639
249924.715794737,1640
184303.78297500277,1641
244898.658007278,1642
210499.8300810231,1643
235868.78602622615,1644
196656.59269975167,1645
158881.8169986215,1646
161133.3589739654,1647
128651.05666166065,1648
141179.42065664232,1649
112770.87124864015,1650
120842.12313922982,1651
98518.05383176426,1652
101156.25584353825,1653
142618.81102170353,1654
131559.1872735888,1655
138708.64300461952,1656
145418.34172256652,1657
143297.3770595178,1658
114911.58772959893,1659
156593.40895000342,1660
411594.5356623787,1661
396436.8197845231,1662
372080.0702238188,1663
477000.4288039084,1664
309112.91937943135,1665
338364.0675257182,1666
383941.97714223375,1667
354253.6648939167,1668
318962.8616643031,1669
351881.4998033925,1670
262548.4574212346,1671
412244.38569528545,1672
286222.76021614147,1673
239286.03869554284,1674
197846.28775133446,1675
196586.2355528028,1676
218944.92922337836,1677
435300.0988715448,1678
387734.0646661007,1679
325083.70474209584,1680
250725.9391383592,1681
322499.17361404357,1682
184508.18202246734,1683
176722.0118096232,1684
176342.251204088,1685
167148.14987622088,1686
177534.70946000284,1687
189331.46357712857,1688
195776.32649186236,1689
199186.8522976526,1690
